name,brand,categories,prices,reviews
"
        Wellness CORE Digestive Health Wholesome Grains Whitefish & Brown Rice Recipe Dry Dog Food",Wellness,a/b,"{'22-lb bag': '69.98', '4-lb bag': '17.87'}",18 Reviews
"
        ACANA Free-Run Poultry Recipe Grain-Free Dry Dog Food",ACANA,a/b,"{'25-lb bag': '69.99', '13-lb bag': '39.99', '4.5-lb bag': '19.99'}",297 Reviews
"
        Purina Pro Plan High Protein Shredded Blend Chicken & Rice Formula with Probiotics Dry Dog Food",Purina Pro Plan,a/b,"{'6-lb bag': '15.98', '18-lb bag': '39.78', '35-lb bag': '55.48', '47-lb bag': '73.48'}",1945 Reviews
True Acre Foods Weight Control Chicken & Vegetables Recipes Grain-Free Dry Dog Food,True Acre Foods,a/b,"{'30-lb bag': '$39.99', '40-lb bag': '$53.99'}",48 Reviews
"
        ORIJEN Amazing Grains Original Dry Dog Food",ORIJEN,a/b,"{'4-lb bag': '25.99', '22.5-lb bag': '96.99'}",4 Reviews
"
        Nutro Natural Choice Large Breed Adult Lamb & Brown Rice Recipe Dry Dog Food",Nutro,a/b,"{'20-lb bag': '39.98', '40-lb bag': '74.98', '30-lb bag': '57.98'}",474 Reviews
Gentle Giants Canine Nutrition Chicken Dry Dog Food,Gentle Giants,a/b,"{'30-lb bag': '$36.99', '3.5-lb bag': '$6.59', '7.5-lb bag': '$15.09', '15-lb bag': '$21.59', '33-lb bag': '$39.99'}",1140 Reviews
"
        American Journey Active Life Formula Healthy Weight Chicken, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",American Journey,a/b,$49.99,228 Reviews
"
        Crave High Protein Chicken Adult Grain-Free Dry Dog Food",Crave,a/b,"{'12-lb bag': '28.99', '4-lb bag': '11.98', '22-lb bag': '47.98'}",141 Reviews
"
        Purina Pro Plan Adult Large Breed Chicken & Rice Formula Dry Dog Food",Purina Pro Plan,a/b,"{'18-lb bag': '45.18', '34-lb bag': '58.98', '47-lb bag': '75.48'}",563 Reviews
Blue Buffalo Life Protection Formula Small Breed Adult Chicken & Brown Rice Recipe Dry Dog Food,Blue Buffalo,a/b,"{'15-lb bag': '$35.98', '3-lb bag': '$12.99', '6-lb bag': '$18.99', '5-lb bag': '$15.98'}",1016 Reviews
"
        Iams Minichunks Adult Lamb & Rice Recipe Dry Dog Food",Iams,a/b,"{'38.5-lb bag': '41.98', '30-lb bag': '35.98', '15-lb bag': '22.98', '7-lb bag': '12.99'}",330 Reviews
"
        Wellness Simple Limited Ingredient Diet Grain-Free Salmon & Potato Formula Dry Dog Food",Wellness,a/b,"{'40-lb bag': '109.99', '24-lb bag': '74.98'}",357 Reviews
NUTRO SO SIMPLE Adult Beef & Rice Recipe Natural Dry Dog Food,Nutro,a/b,"{'11-lb Bag': '$26.98', '4-lb Bag': '$14.98', '25-lb Bag': '$53.98'}",70 Reviews
"Kibbles 'n Bits Meaty Middles Prime Rib Flavor Dry Dog Food, 16.5-lb bag",Kibbles 'n Bits,a/b,"{'16.5-lb bag': '$12.99', '3-lb bag': '$4.99', '3.6-lb bag': '$4.99', '15-lb bag': '$11.46'}",117 Reviews
"
        Taste of the Wild Pacific Stream Grain-Free Dry Dog Food",Taste of the Wild,a/b,"{'14-lb bag': '35.99', '28-lb bag': '54.99', '5-lb bag': '17.99'}",2865 Reviews
